model,train_type,train_dataset,test_dataset,encoded_dim,epochs,train_samples,test_samples,nmse_db,rho,train_seconds,infer_seconds_per_sample
CsiNet,single_dataset,D1_indoor_uniform,D1_indoor_uniform,512,100,1200,400,-4.4389,0.577184,129.05,0.00057808
CsiNet,single_dataset,D1_indoor_uniform,D2_indoor_center,512,100,1200,400,-4.3846,0.592972,129.05,0.00033515
CsiNet,single_dataset,D1_indoor_uniform,D3_indoor_edge,512,100,1200,400,-4.165,0.557961,129.05,0.00033392
CsiNet,single_dataset,D1_indoor_uniform,D4_indoor_ring,512,100,1200,400,-4.9616,0.591913,129.05,0.00030769
CsiNet,single_dataset,D1_indoor_uniform,D5_outdoor_uniform,512,100,1200,400,-3.7263,0.560887,129.05,0.00032578
CsiNet,single_dataset,D1_indoor_uniform,D6_outdoor_clustered,512,100,1200,400,-3.9766,0.568381,129.05,0.00033361
CsiNet,mixed_datasets,mixed_all,D1_indoor_uniform,512,100,7200,400,-10.4775,0.772317,732.282,0.00079286
CsiNet,mixed_datasets,mixed_all,D2_indoor_center,512,100,7200,400,-11.0998,0.793308,732.282,0.00033266
CsiNet,mixed_datasets,mixed_all,D3_indoor_edge,512,100,7200,400,-10.4429,0.751409,732.282,0.00033809
CsiNet,mixed_datasets,mixed_all,D4_indoor_ring,512,100,7200,400,-11.6022,0.775702,732.282,0.00033743
CsiNet,mixed_datasets,mixed_all,D5_outdoor_uniform,512,100,7200,400,-8.4975,0.786905,732.282,0.00037138
CsiNet,mixed_datasets,mixed_all,D6_outdoor_clustered,512,100,7200,400,-10.2665,0.788171,732.282,0.00034590
