model,train_type,train_dataset,test_dataset,encoded_dim,train_samples,test_samples,nmse_db,rho,train_seconds,infer_seconds_per_sample
PCA-autoencoder-proxy,single_dataset,D1_indoor_uniform,D1_indoor_uniform,128,1200,400,-6.6209,0.638916,0.056,0.00000970
PCA-autoencoder-proxy,single_dataset,D1_indoor_uniform,D2_indoor_center,128,1200,400,-6.5606,0.649076,0.056,0.00000849
PCA-autoencoder-proxy,single_dataset,D1_indoor_uniform,D3_indoor_edge,128,1200,400,-5.9662,0.617788,0.056,0.00000854
PCA-autoencoder-proxy,single_dataset,D1_indoor_uniform,D4_indoor_ring,128,1200,400,-7.3106,0.663793,0.056,0.00000891
PCA-autoencoder-proxy,single_dataset,D1_indoor_uniform,D5_outdoor_uniform,128,1200,400,-5.7187,0.622069,0.056,0.00000978
PCA-autoencoder-proxy,single_dataset,D1_indoor_uniform,D6_outdoor_clustered,128,1200,400,-5.7003,0.622649,0.056,0.00000966
PCA-autoencoder-proxy,mixed_datasets,mixed_all,D1_indoor_uniform,128,7200,400,-7.0772,0.653881,0.285,0.00000870
PCA-autoencoder-proxy,mixed_datasets,mixed_all,D2_indoor_center,128,7200,400,-6.9279,0.657313,0.285,0.00000965
PCA-autoencoder-proxy,mixed_datasets,mixed_all,D3_indoor_edge,128,7200,400,-6.6677,0.643257,0.285,0.00000963
PCA-autoencoder-proxy,mixed_datasets,mixed_all,D4_indoor_ring,128,7200,400,-7.8056,0.6794,0.285,0.00000856
PCA-autoencoder-proxy,mixed_datasets,mixed_all,D5_outdoor_uniform,128,7200,400,-6.4617,0.657592,0.285,0.00001061
PCA-autoencoder-proxy,mixed_datasets,mixed_all,D6_outdoor_clustered,128,7200,400,-6.714,0.663636,0.285,0.00000943
